teams,year,revenue,operating profit,employee count,currency,revenue_usd,operating_profit_usd,revenue_real_2024usd,operating_profit_real_2024usd,profit_margin_percent,budget_cap,team_tier,top_tier
Aston Martin,2016,77163000,-22329000,400,British Pounds,97997010,-28357830,126318145.9,-36553242.87,-28.93744411,0,Lower,0
Aston Martin,2019,45687000,-115518000,400,British Pounds,58022490,-146707860,70207212.9,-177516510.6,-252.8465428,0,Lower,0
Aston Martin,2020,18146000,-19995000,400,British Pounds,23045420,-25393650,27539276.9,-30345411.75,-110.1895735,0,Lower,0
Aston Martin,2021,150438000,-39579000,400,British Pounds,191056260,-50265330,217804136.4,-57302476.2,-26.3091772,1,Lower,0
Aston Martin,2022,187728000,-52714000,400,British Pounds,238414560,-66946780,250096873.4,-70227172.22,-28.07998807,1,Lower,0
Aston Martin,2023,244652000,-21679000,400,British Pounds,310708040,-27532330,313193704.3,-27752588.64,-8.86115789,1,Lower,0
Alpine,2016,119671000,-1319000,700,British Pounds,151982170,-1675130,195905017.1,-2159242.57,-1.1021885,0,Mid-Field,0
Alpine,2017,136253000,2556000,700,British Pounds,173041310,3246120,218378133.2,4096603.44,1.875921998,0,Mid-Field,0
Alpine,2018,146624000,-5635000,700,British Pounds,186212480,-7156450,229413775.4,-8816746.4,-3.843163466,0,Mid-Field,0
Alpine,2019,177833000,323000,700,British Pounds,225847910,410210,273275971.1,496354.1,0.181631081,0,Mid-Field,0
Alpine,2020,156202000,-10013000,700,British Pounds,198376540,-12716510,237059965.3,-15196229.45,-6.410289241,0,Mid-Field,0
Alpine,2021,201485000,25951000,700,British Pounds,255885950,32957770,291709983,37571857.8,12.87986699,1,Mid-Field,0
Alpine,2022,249038000,35550000,700,British Pounds,316278260,45148500,331775894.7,47360776.5,14.27492993,1,Mid-Field,0
Alpine,2023,250014000,18122000,700,British Pounds,317517780,23014940,320057922.2,23199059.52,7.24839409,1,Mid-Field,0
Alpine,2024,238508000,-10192000,700,British Pounds,302905160,-12943840,302905160,-12943840,-4.273231925,1,Mid-Field,0
Ferrari,2016,488000000,,1000,Euro,488000000,,629032000,,,0,Top,1
Ferrari,2017,494000000,,1000,Euro,494000000,,623428000,,,0,Top,1
Ferrari,2018,506000000,,1000,Euro,506000000,,623392000,,,0,Top,1
Ferrari,2019,538000000,,1000,Euro,538000000,,650980000,,,0,Top,1
Ferrari,2020,390000000,,1000,Euro,390000000,,466050000,,,0,Top,1
Ferrari,2021,431000000,,1000,Euro,431000000,,491340000,,,1,Top,1
Ferrari,2022,499000000,,1000,Euro,499000000,,523451000,,,1,Top,1
Ferrari,2023,572000000,,1000,Euro,572000000,,576576000,,,1,Top,1
Ferrari,2024,670000000,,1000,Euro,670000000,,670000000,,,1,Top,1
