teams,year,revenue,operating profit,employee count,currency,revenue_usd,operating_profit_usd,revenue_real_2024usd,operating_profit_real_2024usd,profit_margin_percent,budget_cap,team_tier,top_tier
McLaren,2020,332922000.0,102421000.0,1000,British Pounds,422810940.0,130074670.0,505259073.3,155439230.65,30.764263100666223,0,Top,1
McLaren,2021,282211000.0,15123000.0,1000,British Pounds,358407970.0,19206210.0,408585085.79999995,21895079.4,5.358756391494308,1,Top,1
McLaren,2022,311267000.0,-4107000.0,1000,British Pounds,395309090.0,-5215890.0,414679235.40999997,-5471468.609999999,-1.3194460061619124,1,Top,1
McLaren,2023,386968000.0,24892000.0,1000,British Pounds,491449360.0,31612840.0,495380954.88,31865742.72,6.432573236029852,1,Top,1
McLaren,2024,488393000.0,48462000.0,1000,British Pounds,620259110.0,61546740.0,620259110.0,61546740.0,9.922746640512866,1,Top,1
Williams,2016,116700000.0,5900000.0,700,British Pounds,148209000.0,7493000.0,191041401.0,9658477.0,5.055698371893745,0,Mid-Field,0
Williams,2017,125600000.0,14651000.0,700,British Pounds,159512000.0,18606770.0,201304144.0,23481743.74,11.664808917197451,0,Mid-Field,0
Williams,2018,131722000.0,4795000.0,700,British Pounds,167286940.0,6089650.0,206097510.07999998,7502448.8,3.6402423285404115,0,Mid-Field,0
Williams,2019,107517000.0,18801000.0,700,British Pounds,136546590.0,23877270.0,165221373.9,28891496.7,17.486537012751473,0,Mid-Field,0
Williams,2020,48648000.0,-58454000.0,700,British Pounds,61782960.0,-74236580.0,73830637.2,-88712713.10000001,-120.15704653839829,0,Mid-Field,0
Williams,2021,96406000.0,-11892000.0,700,British Pounds,122435620.0,-15102840.0,139576606.79999998,-17217237.599999998,-12.33533182581997,1,Mid-Field,0
Williams,2022,142846000.0,-17894000.0,700,British Pounds,181414420.0,-22725380.0,190303726.57999998,-23838923.619999997,-12.526777088612912,1,Mid-Field,0
Williams,2023,126965000.0,-80508000.0,700,British Pounds,161245550.0,-102245160.0,162535514.4,-103063121.28,-63.40960107116133,1,Mid-Field,0
Williams,2024,179776000.0,-42251000.0,700,British Pounds,228315520.0,-53658770.0,228315520.0,-53658770.0,-23.50202474190103,1,Mid-Field,0
Aston Martin,2016,77163000.0,-22329000.0,400,British Pounds,97997010.0,-28357830.0,126318145.88999999,-36553242.87,-28.937444111815246,0,Lower,0
Aston Martin,2019,45687000.0,-115518000.0,400,British Pounds,58022490.0,-146707860.0,70207212.89999999,-177516510.6,-252.84654278022197,0,Lower,0
Aston Martin,2020,18146000.0,-19995000.0,400,British Pounds,23045420.0,-25393650.0,27539276.900000002,-30345411.75,-110.18957345971563,0,Lower,0
Aston Martin,2021,150438000.0,-39579000.0,400,British Pounds,191056260.0,-50265330.0,217804136.39999998,-57302476.199999996,-26.309177202568502,1,Lower,0
Aston Martin,2022,187728000.0,-52714000.0,400,British Pounds,238414560.0,-66946780.0,250096873.44,-70227172.22,-28.079988067842837,1,Lower,0
Aston Martin,2023,244652000.0,-21679000.0,400,British Pounds,310708040.0,-27532330.0,313193704.32,-27752588.64,-8.861157889573763,1,Lower,0
Alpine,2016,119671000.0,-1319000.0,700,British Pounds,151982170.0,-1675130.0,195905017.13,-2159242.57,-1.102188500137878,0,Mid-Field,0
Alpine,2017,136253000.0,2556000.0,700,British Pounds,173041310.0,3246120.0,218378133.22,4096603.44,1.8759219980477495,0,Mid-Field,0
Alpine,2018,146624000.0,-5635000.0,700,British Pounds,186212480.0,-7156450.0,229413775.35999998,-8816746.4,-3.843163465735487,0,Mid-Field,0
Alpine,2019,177833000.0,323000.0,700,British Pounds,225847910.0,410210.0,273275971.09999996,496354.1,0.18163108084551238,0,Mid-Field,0
Alpine,2020,156202000.0,-10013000.0,700,British Pounds,198376540.0,-12716510.0,237059965.3,-15196229.450000001,-6.410289240854791,0,Mid-Field,0
Alpine,2021,201485000.0,25951000.0,700,British Pounds,255885950.0,32957770.0,291709983.0,37571857.8,12.879866987616943,1,Mid-Field,0
Alpine,2022,249038000.0,35550000.0,700,British Pounds,316278260.0,45148500.0,331775894.73999995,47360776.5,14.274929930372075,1,Mid-Field,0
Alpine,2023,250014000.0,18122000.0,700,British Pounds,317517780.0,23014940.0,320057922.24,23199059.52,7.248394089930963,1,Mid-Field,0
Alpine,2024,238508000.0,-10192000.0,700,British Pounds,302905160.0,-12943840.0,302905160.0,-12943840.0,-4.273231925134587,1,Mid-Field,0
